Name,RA (1950),Dec m_Zw,V_h,sig sour,Ty,D1,D2,BT   UGC,CfARFN,Comments
,,,,,,,,,,
I5378S,4,16215415.2,6387,23H2700,,1.5,1.3,00001S,T17116,"VV263A,Arp130,MCG 3-01-015"
00002+1837,12,18363314.8,7882,510650,1B,2,1,3,T11719,
00005+0356,23.3,3554815.5,8693,2212700,4A,1.3,0.8,4,T23513,
00005+1836,30,18360015.5,7894,2010650,,,,,T11720,
00006-0211,32,-2112914.3,7323,3112700,4X,1.3,0.8,5,T02072,
00006+3045,34,30454015,4797,912212,,0.7,0.3,,,
00006+2142,35.6,21405414.4,6600,812212,5:00 PM,1,0.7,6,,"Sy2,MK334,IVZw1"
00006+2454,36,24540015.5,7753,912212,,,,,T13521,IVZw2
I5381,37.6,15411414.9,11231,1010650,15,1.5,0.4,7,T11882,
N7814,41.1,15520312,1050,410611,2A s,6.5,2.7,11.3500008,T00610,
00007+0320,42,3200015.3,8009,311-1,,,,,T11754,
00008+0820N,52.3,8203015.5,11902,40H2700,5A,1.9,1.7,00010A,T11755,"NE Comp, LSB Spiral"
00009+0525,54,5250015.2,6188,610651,,,,,T11806,
00009+1628,54,16280015.5,6295,2010650,,,,,S17117,
00009+2705,55.2,27042215,7690,3012700,0B,1.1,1,13,T10110,MCG 4-1-15
00010+2256,101.2,22551914,7229,1011761,5,1.9,1,14,T03645,
00012+1555,112,15550015.4,6412,1010650,,,,,T11883,
N7816,115.2,7120314,5241,510620,4,2,2,16,T16711,
N7817,124.9,20281812.7,2310,110658,4A,4,1.1,19,T07876,
N7818,136,7050015.1,6201,110651,5A,1.1,1.1,21,T11533,
00017+1030,138.9,10304415.2,7887,3012700,3B,1.3,0.9,23,T11516,
00017+2219,142,22190015.4,4442,2010624,5B,1.2,0.8,24,,
N7819,150.3,31113814.3,4958,612212,3B s,2,1.8,26,T17097,
00019+4713,152,47124315.1,5269,421-1,,,,,T24717,
00019+0534,154,5340015.3,3118,110651,5A,2.2,1.2,27,,3118 1 (0651)
N7820,156.7,4551313.9,3064,1912700,0,1.6,0.7,28,T00840,
00020+2802,200,28020015.2,8785,3312700,-7,1.3,1.2,29,T10053,
00022+2633,212,26330014.6,7570,912212,,,,,T05614,
00023-0146,215,-1463515,7110,5110002,,,,,,"MK544,MCG 0-1-24"
00023-0151,218,-1510015.1,7139,3712700,,,,,T11742,MCG 0-0-25
00023+1655,218.2,16545015.3,1034,410639,10,1.4,1.1,31,,
00025+0451,230,4510015.4,5295,2612700,0B,1.2,0.9,33,T11902,
N7824,232.2,6383314.5,6134,2812712,2,1.9,1.3,34,T03778,
N7825,236,4560015.5,8104,281-1,,,,,T11901,
00027+0630,240.1,6293614.7,6291,1310651,1A,1.7,0.8,36,T03779,
00029+4616,252.9,46155515.3,4980,611-1,,,,,T24718,
00029+0454,254,4540015.5,5824,3112700,3B,1.3,0.4,37,T11900,
N7827,254,4570014.6,5294,2512700,-2B,1.4,1.3,38,T11899,
00028+3215,254.4,32151015,10422,912212,,0.9,0.9,,T19296,MCG 5-1-31
00032+2710,312,27100015.2,7531,2010624,3A,1.2,0.7,40,,
00036+5416,338.3,54150615.5,5588,2312700,20,1,0.4,45,T23730,
A0003+1955,345.1,19552714,7730,1912700,-6,0.3,0.3,14.1,T03655,"Sy1,MK335"
00038+1709S,347.2,17090515.1,5448,10H0650,,0.4,0.2,00046B,T02113,"KDG1A,South"
00038+1709N,347.6,17093215.3,5510,23H1804,20,0.55,0.18,00046A,T02112,"KDG1B,North"
N7834,406,8050015.4,5231,110651,5,1.4,1.3,49,T07370,
00041+2553,407,25524014.9,7552,2912700,2A,1.3,0.3,50,T11587,
00042+0450,412,4500015.3,5368,510651,4B,1,0.7,51,,
00043+1902,416,19023415.5,7894,510650,4X,1.4,0.8,53,T15074,
00042+0821,416.1,8210915,5257,210651,5A,1.8,1.8,52,T11517,
N   1,441.3,27255013.4,4545,512212,3A s,1.8,1.2,57,T16172,KDG2A
N   2,442.5,27240414.8,7550,912212,2A,1.1,0.7,59,T16713,KDG2B
N   3,442.7,8012314.6,3900,4910502,-2,1.2,0.7,58,,AK1
N7831,444.5,32194813.4,5072,912212,5,1.8,0.35,60,T19297,I1530
00049+4646,448,46454514.3,5277,5712700,-2,1.6,1.4,61,T23729,
00049+4643,449,46423715.3,5097,501-1,,,,,T24719,
00051+2518,506,25180015.5,7054,912212,,,,,T13520,
00052+4036,508.4,40354915.5,273,171-1,15,1.4,1.1,64,T21865,
N   5,513.8,35050314.6,5009,3212700,-7,1.2,0.7,62,T19439,IVZw7
00053+2008,518,20080015.5,7865,1010650,,,,,T15075,
00053+3927,518.8,39262215.4,13314,351-1,,,,,T19924,
N7836,526.6,32473213.8,4904,912212,-5,1.1,0.7,65,T03780,MK336
00055+0926,531.3,9260914.9,6423,1610651,3X,1.5,1.3,66,T11534,
00056+2644,535.3,26433114.4,8741,3612765,3,1,0.55,68,T03630,
00056+0730,536,7300015.4,11846,3412700,2A,1.5,0.5,67,T11589,
00056+2715,538.2,27151414.7,4638,2010624,5A,1.3,0.9,69,,
00059+0956,554,9560015.4,6437,331-1,,,,,T11629,
00059+1752,557.4,17530415.4,12628,510650,,,,,T11631,
00061-0100,604,-1005515.5,11924,2712700,1A,1.1,0.5,72,T11686,
N  11,607.1,37101014.5,4389,2010649,1A,1.6,0.2,73,T21644,
N  12,610.9,4200514.5,3941,410651,4B R,2,1.7,74,T02151,
N  14,612,15321313.3,865,110651,10B P,3,2.5,75,T03697,"VV80,Arp235"
N  13,612.8,33092114.2,4808,912212,5,2.5,0.7,77,,
N   9,620.1,23322414.5,4528,912212,7:00 PM,1.3,0.7,78,T03698,
N  15,626.6,21210014.9,6332,1010650,1A,1.2,0.7,82,T11630,
N  16,629.7,27270812.5,3041,2312700,-3X,1.8,1,12.950008,T02562,
00069+4705,652.2,47044014.5,5153,1012212,4A,1,0.4,85,,
00070+4751,656.4,47512615,5388,301-1,,,,,T24720,VZw4
N  20,657.5,33015314.5,4901,3112700,-3,1.7,1.5,84,T19496,
00071+4934,706,49333715.2,9960,5514302,,,,,,
00072+2805,712,28050015.1,8315,3212700,-7,1.2,1.2,87,T15589,
N  22,713.2,27330714.9,8312,912212,3A,1.8,1.4,86,T15522,
00073+2631,716.3,26304315.5,17225,912212,,,,,T15210,
00073+0425,718,4250015.3,4020,2812700,0,1.2,0.9,88,T11688,
N  23,718.6,25384212.5,4566,210658,1B s,2.2,1.6,12.8000089,T15613,MK545
00074+2756W,726.5,27555314.7,8168,912212,3A,1.5,1.3,00092A,,SW Comp
00077+3150,742,31500015.2,19370,281-1,,,,,T19510,
N  26,751.3,25331613.9,4593,110658,2A T,2,1.1,94,T15614,
N  27,757.7,28430914.5,7033,912212,5,1.5,0.6,96,T04008,KDG3B
00080+1619,800,16190015.2,10432,510650,,,,,T12177,
N  21,805.9,32421813.9,4788,310622,3B,1.2,0.6,98,,KAZ019
00081-0019,806,-190015.3,11628,361-1,,,,,T11689,
00081+3535,806.3,35342915.5,6159,1010649,,,,,T19597,
00082+2818,808.2,28171015,8651,912212,,0.6,0.6,,S15540,
N  29,811.5,33042413.5,4770,412216,4A,1.6,0.7,100,,KAZ019
00083+2517,818,25170015.4,10231,2010624,1B,1.4,0.6,101,,
00084+2947,824,29470014.8,6791,912212,1X,1.6,1.3,102,S15720,
00085+0224,842,2240015.3,812752,5900105,0,0.6,0.5,,,MCG 0-1-35
00087+2838,842,28380015.1,8046,912212,-2B,1.2,1.1,105,S15619,
N  36,848.4,6064214.5,6066,2112700,3X T,2.7,1.5,106,T17135,
00091+2042,907.9,20414715,13900,5010300,,,,,,MK337
00092+2814,909.6,28131814.8,8042,310662,3B,1,0.5,108,S15541,
00092+3250,912,32500015.4,14058,3012700,,,,,T19104,
00094+2607,924,26070015.3,4510,2010624,5A,1.3,0.8,110,,
00096+2738,933.7,27380015.3,7491,912212,,0.6,0.3,,T15191,
00096+1146,936,11460015.4,6342,912212,5,1.3,0.4,111,,
I   3,936,-400015.1,5416,241-1,,,,,T11687,
00097+2203,940.7,22023814.9,7629,2010624,1A,1.2,0.4,113,,
N  39,943.6,30470314.4,4857,1112212,5A,1.2,1.1,114,T17198,
00101+0514,1001.2,5132215.4,8474,912212,20,1.2,0.5,116,,
00102+3306,1012,33060015.2,4756,912212,7,1.7,1.2,117,,
N  41,1012,21460014.6,5949,912212,,,,,T15076,
N  42,1018,21500015,5981,3512700,-3,1.1,0.6,118,T15077,
00104+3858,1023.9,38580615.4,4613,2812700,5B,1.2,0.7,121,T21796,
N  43,1025.1,30381613.9,4785,1012212,-2,1.4,1.3,120,S03562,
00104+1408,1028.3,14075814.2,2032,110651,16  P,1,0.6,119,T02100,
00105+1814,1030,18140015.5,12503,510650,,,,,T12155,
00107+1645,1042.2,16451815.2,854,210656,10,2.6,0.4,122,,
00108+2806,1048,28060015.5,7337,3112700,1A,1.1,0.2,124,T15674,
I   4,1052.4,17122614.2,5004,1010650,5,1,1,123,T02084,
00110+4825,1104.2,48250315.1,5187,211-1,,,,,T24721,MCG 8-1-29
00111+2955,1107.6,29550014.7,7148,912212,,0.8,0.3,,T15539,MCG 5-1-55
I1534,1107.6,47522315.2,5224,1512700,-2,1.1,0.4,125,T23787,
00113+0326,1118,3260015.5,11802,3212700,3B,1,0.9,129,T12156,
I1535,1119.4,47524815.2,5231,181-120,20,1.1,0.2,131,T23788,
00113+3037,1120.9,30361814.2,4735,3012700,-6,0.45,0.35,130,T03599,
00114+1242,1124,12420015.3,1666,4612700,15,1.6,0.5,132,T17728,
N  48,1124.1,47572415,1776,810908,,,,133,,
00116+2816,1136,28160015.3,7140,2012700,,,,,S17118,
N  49,1144.4,47580615.3,4774,2412700,-1,1,0.9,136,T23786,
00118+2814,1148,28140015.5,7231,2312700,,,,,T17119,
N  51,1156.6,47583914.6,5351,181-1,0,1.4,1.3,138,T23785,
00120-0100,1158.1,-1005514.8,3953,1011758,5X3,2.4,1.3,139,T12157,
N  52,1205.2,18182714.6,5392,510649,20,2.6,0.5,140,T12178,
00123+2603,1219.6,26031014.8,7350,912212,,,,,T15193,MCG 4-1-44
00124+1633,1222.9,16333315.4,17010,510649,,,,,30197,
N  57,1255.9,17025613.7,5458,2212700,-7,2.6,2.1,145,T00558,
00131+2710,1306,27100015.4,7483,2512700,-2,1.2,0.6,146,T17555,
00131+2923,1306,29230014.6,6710,2412700,0,1.7,0.25,147,T16758,
00132+1930,1312,19300015,6412,351-1,,,,,T15187,
00132+1944,1312,19440015.4,7721,371-1,,,,,T15186,
00132+1548,1316.4,15484114,4213,510649,5,1.5,0.4,148,T00759,
N  60,1324,-340015.4,11806,2013542,20,1.6,1.6,150,T23543,
